Organization,Link,Sentence,isWayback,Label,Generality,Approximation,Degree,Combinatory,Explicit Subjectivity,Vagueness Label
Enbridge,https://www.enbridge.com/media-center/news/details?id=123740&lang=en,"""This expansion illustrates the immense strategic importance of our B.C. natural gas system in supplying regional and global energy demand with low-emission natural gas,"" said Cynthia Hansen, Executive Vice President and President of Gas Transmission and Midstream at Enbridge.",False,1,,,,,,1
Shell Canada,http://web.archive.org/web/20170911220512/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2015/world-of-science-edmonton-announce-partnership.html,"Once operational, Quest will reduce carbon dioxide (CO2) emissions from the Scotford Upgrader, 50 km northeast of Edmonton, by more than one million tonnes per year - which is like taking 175,000 North American cars off the road.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123670&lang=en,"""We are excited to be partnering with leading companies like Comcor Environmental and Enbridge in innovative technologies to provide resource recovery solutions,"" said Geordie Walker, CEO of Walker Industries.",True,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20211029124723/https://news.imperialoil.ca/news-releases/news-releases/2021/Imperial-announces-third-quarter-2021-financial-and-operating-results/default.aspx,"""The Strathcona renewable diesel project not only demonstrates Imperial's commitment and support for Canada's ambition to achieve net-zero by 2050 and transition to lower-emission fuels, but is also expected to generate significant value for our company and shareholders"" said Corson.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007103655/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-04-14-suncor-supports-communities-through-petro-canada-en.pdf?modified=20220917160733,"'Suncor's purpose is to provide trusted energy that enhances people's lives, while caring for each other and the earth and there's clearly never been a time in our company's history when we've been called upon more to look at what else we can do to support our communities,' said Little.",True,1,"a, never",,little,clearly,"our, we",1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123608&lang=en,"""It is a $2.6 billion investment in the state's critical energy infrastructure, but from the start of the project has been about improving safety and reliability for communities and the environment.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123784&lang=en,He urged governments to create the conditions for investment in LNG exports to help global nations switch from coal power generation to lower-carbon natural gas.,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"As we enter 2022, we're progressing plans to expand Ingleside's export capacity while adding up to 60 MWs of solar power to the site, which will enable net negative facility emissions.",False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220629124437/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-10-13-suncor-energy-ranked-top-canadian-firm-for-climate-change-disclosure-en.pdf?modified=20210902050639,"Suncor is listed on the CDP's 'Carbon Disclosure Leadership Index', which recognizes companies displaying the most professional approach to corporate governance regarding climate change information disclosure practices.",True,1,most,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123799&lang=en,"Offshore in France, 50% of turbines have been installed at Fécamp and the 497MW project is expected to achieve commercial operation in the coming months.",False,1,,,,,,0
Shell Canada,http://web.archive.org/web/20170913010653/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2014/shell-idea360.html,"Al-Hurr Al-Dalli, Charles Gedeon and Sami Sayegh have been developing an idea to supplement local water supply by using large, corrugated sails with a hydrophobic coat to condense and collect humidity from the air.",True,1,"a, an",,large,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/60a97c1d-4e25-48b0-be91-cf80ec73166d,"It remains our view that population growth and rising global living standards will continue to drive energy demand higher, and without affordable, reliable and clean energy, social progress may be significantly delayed or entirely at risk.",False,1,or,,high,"affordable, clean, reliable, significantly",our,1
Suncor Energy,http://web.archive.org/web/20221007084203/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-12-08-varennes-biofuel-partnership-en.pdf?modified=20220917163742,"The business is committed to developing sustainable methanol and ammonia as cleaner alternatives to fossil fuels, offering a pathway to drastically cutting emissions in power generation, overland transportation, shipping and industry.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123697&lang=en,"In September, we held our inaugural ESG Forum, outlining how we're committed to safely delivering energy, lowering our emissions, and diversifying our workforce.",False,1,,,,safely,"our, we",0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1355/02/1104-q3-press-release.pdf,"In 2018, Canadian Natural was one of the first oil companies to announce an aspirational goal of achieving net zero emissions in its oil sands operations.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123723&lang=en,"Our diversified asset footprint, integrated North American transportation systems, access to tide water, and established renewable power assets and low-carbon execution capabilities, provide us a competitive advantage.",True,1,a,,low,competitive,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/e9f3cbe3-560d-44c0-a81a-53a70fcba0b2,"To meet the 2030 GHG emissions intensity target, Pembina will focus initially on operational opportunities, greater use of renewable and lower emission energy sources, and investments in a lower carbon economy.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123700&lang=en,"Enbridge and Capital Power have agreed to jointly evaluate and advance a CCS project, with Enbridge as the transportation and storage service provider and Capital Power as the CO2 provider, subject to the Government of Alberta's competitive carbon hub selection process and a future final investment decision.",False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220704143556/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-06-18-suncor-sees-possibilities-outlines-environmental-goals-in-sustainability-report-en.pdf?modified=20210902050521,"As part of its sustainability commitment, the company plans to align its current greenhouse gas (GHG) strategy to address emerging climate change policies by 2010.",True,1,,,,current,,1
Suncor Energy,http://web.archive.org/web/20220704162154/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2009/2009-02-25-suncor-energy-invests-13-8-million-in-charitable-and-non-profit-groups-en.pdf?modified=20210902050516," $675,000 over three years to Earth Day Canada, an environmental education program that provides Canadians with practical knowledge and tools to lessen their impact on the environment.",True,1,an,,,practical,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123777&lang=en,We have more than 4.5GW of onshore renewable projects under development and anticipate reaching FID on certain projects by year-end.,True,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20220701100108/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-02-02-nr-su-q4-2021-en.pdf?modified=20220203002122,"The company continues to advance a number of strategic initiatives that are expected to contribute to the company's incremental free funds flow, including digital mine optimization, the cogeneration facility at Oil Sands Base plant, the Forty Mile Wind Power Project and investments in technology for our core business systems aimed at improving operational efficiencies.",True,1,a,,,"free, improving","mine, our",0
Suncor Energy,http://web.archive.org/web/20220629134145/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/images/shared/community-news-files/2016-01-14-evok-announcement-en.pdf?modified=20210930173406,Evok Innovations ('Evok') is a first-of-its kind investment partnership uniting Canada's oil and gas companies and the BC Cleantech CEO Alliance to fund and accelerate the development and commercialization of transformative energy solutions.,True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123712&lang=en,Capital Power and Lehigh Cement's planned carbon capture projects represent an opportunity to avoid nearly four million tonnes of atmospheric CO2 emissions.,False,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123758&lang=en,Our people have rallied around these commitments and our early results reflect a focus on continuous improvement and alignment across enterprise-wide business plans.,False,1,a,around,wide,,our,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123722&lang=en,"""This is a good example of how Enbridge is leveraging existing conventional energy assets and capabilities to extend growth and capitalize on low carbon opportunities in the energy transition,"" said Colin Gruending, Enbridge Executive Vice President and President, Liquids Pipelines.",False,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/05/0502-Q124-Front-End.pdf,"We are committed to supporting Canada's and Alberta's climate goals and have robust environmental targets, including net zero greenhouse gas (""GHG"") emissions for the oil sands by 2050.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123674&lang=en,"""ESG leadership is essential to our strategy, and that's why we've been integrating sustainability, diversity and community engagement practices into our operations for over two decades and continue to set new goals for ourselves.",False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123674&lang=en,"""We're very excited about our zero emissions investment opportunities that will support our core businesses and help us achieve our ESG goals.",True,1,,about,very,,our,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123737&lang=en,"Together, we've ensured that Enbridge is well positioned for the energy transition, strongly advocated for our industry, and delivered on our purpose to fuel people's quality of life.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123674&lang=en,Last year we set our net-zero emissions by 2050 target and enhanced diversity goals; these goals are now linked to company-wide compensation and this year we also completed our first sustainability linked loan.,True,1,,,wide,complete,"our, we",0
Imperial Oil,http://web.archive.org/web/20230208013440/https://news.imperialoil.ca/news-releases/news-releases/2022/Imperial-provides-2023-corporate-guidance-outlook/default.aspx,"At Cold Lake, the company is focused on progressing capital-efficient projects, including Grand Rapids and the Leming redevelopment, to sustain and grow production while reducing greenhouse gas intensity through accelerated deployment of new recovery technologies that lower emissions.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123723&lang=en,Awarded the right to advance the Open Access Wabamun Carbon Hub designed to capture 4 million tonnes of CO2 emissions annually,True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/8b662902-b799-487e-a4dd-e006a2e9d1ef,Propane would play an important role in addressing the November 2014 joint commitment made by the United States and China to reduce carbon emissions and climate pollution.,False,1,an,,,important,,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/e9e91b13-43af-4412-be86-0209f38c9899,"While ensuring sustainable practices across its operations, PETRONAS strives to ensure just and equitable outcomes in transitioning to a lower carbon future.",False,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220703200905/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-06-07-suncor-st-clair-ethanol-plant-safely-achieves-one-billion-litre-production-milestone-en.pdf?modified=20210902050631,one million tonnes of CO2 per year .,True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1319/03/0304-q420-front-end.pdf,"In 2020 the Company successfully achieved three of our four current environmental targets relating to GHG and methane emissions intensity reductions and reduced fresh water usage, and as a result we plan to update our environmental targets in Q2/21.",True,1,a,,,"current, fresh, successfully","our, we",0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123670&lang=en,This is just one example of how Enbridge is connecting consumers to renewables sources of energy.,True,1,,,,just,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123726&lang=en,"Enbridge leads its sector in tracking and reporting Scope 3 emissions, including metrics that track the emission intensity of the energy it delivers and the impact low-carbon investments have had on global emissions.",True,1,,,low,,,0
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/02/0229-Q423-Front-End.pdf,"We are uniquely positioned with diverse, long life low decline assets which are ideal to apply technologies, to reduce GHG emissions and provide industry leading environmental performance.",True,1,,,"long, low",,,1
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2018/Imperial-earns-749-million-in-the-third-quarter-of-2018/default.aspx,Imperial announced its commitment to a 10 percent reduction in greenhouse gas emissions intensity in its oil sands operations by 2023.,True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123723&lang=en,"We've also recently committed to additional actions, including supporting organizations developing science-based guidelines for the midstream sector and engaging with key suppliers to further support Scope 3 emissions reductions.",False,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1322/03/0609-oil-sands-alliance.pdf,"'This collaborative effort amongst oil sands peers shows our serious commitment to global climate leadership,' said Alex Pourbaix, Cenovus President and CEO.",True,1,,,,serious,our,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2022/12/1130-2023-budget-and-new-ghg-emissions-reduction-target.pdf,We believe Canadian energy is one of the most responsibly produced sources of energy in the world and should be the preferred energy choice.,True,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20210622082629/https://news.imperialoil.ca/news-releases/news-releases/2021/Canadas-largest-oil-sands-producers-announce-unprecedented-alliance-to-achieve-net-zero-greenhouse-gas-emissions/default.aspx,"The companies involved look forward to continuing to work with the federal and Alberta governments, and to engaging with local Indigenous communities in northern Alberta to make this ambitious, major emissions-reduction vision a reality so those communities can continue to benefit from Canadian resource development.",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/11/1102-Q323-Front-End.pdf,Members of Pathways continue to advance community engagement and environmental field programs to minimize the project's environmental disturbance.,True,1,,,,,,1
Imperial Oil,http://web.archive.org/web/20210622082629/https://news.imperialoil.ca/news-releases/news-releases/2021/Canadas-largest-oil-sands-producers-announce-unprecedented-alliance-to-achieve-net-zero-greenhouse-gas-emissions/default.aspx,"""Bold action today demonstrates our commitment to tackling climate change and global climate leadership.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007084710/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-09-earnings-q1-2022-news-release-en.pdf?modified=20220909193039,"Critically important to the delivery of this priority is the company's ability to execute on its near-term plans, including a relentless focus to operate in a safe, reliable, cost-efficient and environmentally responsible manner, while optimizing the company's asset portfolio to maximize value from its core integrated assets.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123703&lang=en,"The Genesee CCS Project is expected to capture up to 3 million tonnes of CO2 annually from the repowered units, which would be transported and stored through Enbridge's Open Access Carbon Hub that could also serve several other local industrial companies.",False,1,several,,,,,0
Imperial Oil,https://news.imperialoil.ca/news-releases/news-releases/2019/Imperial-Releases-Energy-and-Carbon-Summary/default.aspx,"""With billions of people expected to join the middle class by 2040, our role is to deliver reliable, affordable energy to support enhanced living standards while reducing environmental impact,"" said Rich Kruger, chairman, president and chief executive officer of Imperial.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123817&lang=en,"Today, it can supply nearly 770, 000 people with low-carbon electricity, equivalent to about 60% of the annual electricity consumption of the Seine-Maritime region.",False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123742&lang=en,Rising targets for State renewable portfolio standards and growing private sector demand for zero-carbon electricity are set to drive investment in wind and solar power generation significantly higher over the next decade.,True,1,,,,,,0
Shell Canada,http://web.archive.org/web/20170913010035/http://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2012/aosp-production.html,"Quest would see more than one million tonnes of CO2 a year captured from the Scotford Upgrader near Edmonton, Alberta and safely stored over two kilometres underground.",True,1,a,,near,safely,,0
Suncor Energy,http://web.archive.org/web/20220704143913/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-06-07-suncor-receives-regulatory-approval-to-develop-wintering-hills-wind-power-project-en.pdf?modified=20210902050555,Suncor Energy is a Canadian pioneer in wind power with joint ownership of four wind farms in operation and other projects in the planning stages.,True,1,a,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123753&lang=en,The Settlement also includes new incentive mechanisms that provide opportunities to generate incremental earnings through volume optimization and emission reduction initiatives undertaken by B.C. Pipeline.,True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20230131024652/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2020/2020-07-15-suncor-energy-releases-2020-report-on-sustainability-en.pdf?modified=20220919045236,"Strengthening relationships with Indigenous communities, reducing the carbon intensity of barrels produced, implementing new technologies such as autonomous haul trucks, investing in jet biofuels and building Canada's Electric Highway TM - these activities offer a glimpse into the sustainable future Suncor is working to embed through its business.",True,1,a,,new,sustainable,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123723&lang=en,"We're also now developing hydrogen and ammonia opportunities at Ingleside, which will include carbon capture and sequestration that will allow production of low-carbon fuel sources.",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1307/02/1105-q320-front-end.pdf,"Gross carbon capture capacity through these projects combined is approximately 2.7 million tonnes of CO2 annually, equivalent to taking approximately 576,000 vehicles off the road per year.",True,1,,approximately,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123697&lang=en,"Hydrogen Blending On October 1, 2021, Enbridge's first large scale green hydrogen blending facility located in Markham, Ontario was commissioned, adding up to 2% hydrogen by volume into the gas stream for 3,600 customers.",True,1,,,large,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123758&lang=en,"""The world continues to navigate the energy trilemma of reliability, sustainability and affordability and our premier franchises across the energy system increasingly play a critical role in balancing these objectives.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220629133234/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-09-23-suncor-energy-completes-surface-reclamation-of-first-tailings-pond-en.pdf?modified=20210902050609,"Suncor Energy today marked an industry milestone, becoming the first oil sands company to complete surface reclamation of a tailings pond, a key step in returning the site back to nature.",True,1,"a, an",,,complete,,0
Suncor Energy,http://web.archive.org/web/20220703210552/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-09-22-suncor-energy-advances-wintering-hills-wind-power-project-en.pdf?modified=20210902050608,"""Wintering Hills will be Suncor's biggest wind power project to date and another example of Suncor's ongoing commitment to increasing renewable energy options in Canada.'",True,1,,,,big,,1
Suncor Energy,http://web.archive.org/web/20220704145406/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-03-04-suncor-energy-recognized-for-reclamation-efforts-en.pdf?modified=20210902050623,"In 2010, Suncor marked an industry milestone by becoming the first oil sands company to achieve a solid surface on a decommissioned tailings pond - Pond 1, now named Wapisiw Lookout.",True,1,"a, an",,,solid,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123674&lang=en,"In Quebec, we're now developing a new 20 MW green hydrogen facility with Evolugen and last week we announced a new partnership with Walker Industries and Comcor Environmental to develop renewable natural gas projects across Canada.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123665&lang=en,"In total, Enbridge has 5.1 GW of gross renewable energy capacity in construction and operation, and another 3.3 GW of gross renewable energy capacity in various stages of development.",False,1,"total, various",,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/c8f37bc6-7e6a-480b-8afd-c78c10c51abf,"Failure to maintain compliance with these requirements could result in operational interruptions, fines or penalties, or the need to install potentially costly pollution control technology.",False,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007101949/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-06-06-pathways-press-release-en.pdf?modified=20220907174624,"While alternative energy sources will play an increasingly important role in the decades ahead, all internationally recognized forecasts indicate fossil fuels will continue to be an essential requirement through 2050 and beyond as part of a diversified energy mix, including as a feedstock for carbon fibres, asphalt, plastics and other important products.",True,1,,,,,,1
Shell Canada,http://web.archive.org/web/20191014092912/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2012/first-oil-sands-ccs-project.html,"Quest will reduce direct emissions from the Scotford Upgrader by up to 35 per cent – the equivalent of taking 175,000 North American cars off the road annually.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123736&lang=en,"""TGE will enhance Enbridge's renewable platform and accelerate our North American growth strategy,"" said Al Monaco, Enbridge's President and Chief Executive Officer.",False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123787&lang=en,"Enbridge, through its wholly owned subsidiary, has signed a definitive agreement with a wholly owned subsidiary of Canada Pension Plan Investment Board (CPP Investments) to purchase its interests in the Hohe See Offshore Wind Farm and Albatros Offshore Wind Farm for total consideration of €625 million, comprised of €267 million of cash and €358 million of assumed debt.",True,1,"a, total",,,interest,,0
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1281/02/0305_q419-front-end.pdf,"Canadian Natural has invested significant capital to capture and sequester CO2, making the Company one of the largest CO2 capturers and sequesterers for the oil and natural gas sector globally.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"The 2020 Sustainability Report has introduced new metrics to track the Scope 3 emissions intensity of the energy transported by Enbridge and how investments in renewable natural gas, hydrogen and renewable electricity are advancing the energy transition.",False,1,,,new,natural,,0
Suncor Energy,http://web.archive.org/web/20221007095422/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021_03_18_nr_su_svante_en.pdf?modified=20220907174531,Suncor and Svante Inc. today announced an equity financing agreement which provides Svante with the additional growth capital to accelerate the commercialization of Svante's novel second generation CO2 capture technology in North America for the decarbonization of industrial emissions and hydrogen production.,True,1,an,,,,,0
Shell Canada,http://web.archive.org/web/20190926171658/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2019/quest-ccs-facility-reaches-major-milestone.html,"The geological formation used for storage, which is prevalent across much of Western Canada, is demonstrating incredible capacity for CO2 injection.",True,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20221007102843/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-07-28-nr-su-q2-2021-en.pdf?modified=20220907174649,"Over the medium-term, Suncor expects to allocate approximately 10% of its annual capital budget (approximately $500 million per year) on investments that are intended to advance its lower-carbon energy offering.",True,1,,,,,,0
Imperial Oil,http://web.archive.org/web/20230126130706/https://news.imperialoil.ca/news-releases/news-releases/2023/Imperial-Approves-720-million-for-Largest-Renewable-Diesel-Facility-in-Canada/default.aspx,"The project at Imperial's Strathcona refinery near Edmonton is expected to produce more than one billion litres of renewable diesel annually primarily from locally sourced feedstocks and could help reduce greenhouse gas emissions in the Canadian transportation sector by about 3 million metric tons per year, as determined in accordance with Canada's Clean Fuel Regulation.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123731&lang=en,"Emissions continue to trend positively towards our 2030 interim target, employee diversity is growing, and our safety results remain industry leading.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123650&lang=en,"""We have now received all federal permits required for replacing Line 3, an essential maintenance project that will better protect Minnesota communities and the environment,"" said Leo Golden Vice President of Line 3 Execution.",True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"The global economic recovery is now well underway, and our assets have been essential in assuring access to reliable and affordable conventional and renewable energy throughout this critical period.",False,1,,,,"affordable, critical, essential, reliable, well",our,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123857&lang=en,"Clear Fork will be a utility scale solar facility located near San Antonio, with 600 MW of capacity.",False,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/8de8f5c1-f954-4fa0-9e4f-9dcdc0ad97f8,We are committed to reducing the greenhouse gas (GHG) emission intensity in each of our businesses.,False,1,,,,,our,1
Suncor Energy,http://web.archive.org/web/20220703212548/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2011/2011-03-25-suncor-energy-doubles-production-capacity-at-st-clair-ethanol-plant-en.pdf?modified=20210902050625,"The expanded St. Clair Ethanol Plant, along with Suncor's investment in four operating wind power projects across Canada, is expected to displace the equivalent of nearly one million tonnes of carbon dioxide per year - the equivalent of the annual tailpipe emissions of approximately 200,000 cars.",True,1,,,,,,0
Shell Canada,http://web.archive.org/web/20210713152107/https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2021/shell-proposes-large-scale-ccs-facility-in-alberta.html,"Once fully built, Polaris would contribute to the Edmonton region becoming Canada's first hydrogen hub.",True,1,,,,fully,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"The U.S. Army Corp of Engineers is proceeding with an environmental impact statement to support its permitting process, which is expected to strengthen the regulatory record, and the Michigan Public Service Commission continues to progress its permitting process.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123806&lang=en,"Abundant, cost-competitive and sustainable conventional and lower carbon energy sources provide people with the energy they need while supporting countries and communities in meeting global emission targets.",True,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1181/06/0802_q2-18-front-end.pdf,"At Canadian Natural's Oil Sands operations, which represent approximately 66% of the Company's liquids production, the Company's emissions intensity is only approximately 5% higher than the average intensity for all global crude oils.",True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123831&lang=en,"""Looking forward, we see ongoing opportunities and benefits of AI, in terms of data analytics, asset and process optimization, security and cost and emissions savings,"" said Ivaturi.",False,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2023/03/0302-Q422-Front-End.pdf,"Canada and Canadian Natural are well positioned to deliver affordable, reliable, safe and responsibly produced energy that the world needs through leading ESG performance.",True,1,,,,"affordable, reliable, safe, well",,1
Suncor Energy,http://web.archive.org/web/20220703210616/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-12-17-suncor-energy-unveils-ten-year-growth-strategy-en.pdf?modified=20210902050617,"While Suncor's primary growth focus remains on its large oil sands resource base, 2011 growth spending is also planned for operations in international and offshore operations and renewable energy projects.",True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/87981cd6-b786-4a87-b62b-a6794238f970,The Facility is contemplated to utilize innovative technology to capture a significant amount of the CO2 emissions with the potential for integrated transportation and sequestration on the proposed Alberta Carbon Grid being developed by Pembina and TC Energy.,True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123711&lang=en,"""These types of partnerships on critical technologies like CCUS are how we will win the fight against climate change and demonstrate to Canadians and the world how our hard to abate industry will reach its net-zero ambition.",False,1,,,,,,1
Canadian Natural Resources,https://www.cnrl.com/content/uploads/2024/06/0620-Pathways-Competition-Act-amendments.pdf,All references to GHG emission reduction in this announcement apply to emissions from oil sands operations (defined as scope 1 and scope 2 emissions).,False,1,,,,,,0
Suncor Energy,http://web.archive.org/web/20221007101949/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2021/2021-06-06-pathways-press-release-en.pdf?modified=20220907174624,'Every credible energy forecast indicates that oil will be a major contributor to the energy mix in the decades ahead and even beyond 2050.,True,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123713&lang=en,"We recognize that leading our industry also comes with the responsibility of continuous improvement, which is why we are committing to new measures that further align our business with the emissions reductions targets we established in late 2020.",True,1,,,"late, new",,"our, we",1
Canadian Natural Resources,https://www.cnrl.com/upload/media_element/1347/04/0805-q221-front-end.pdf,"25% reduction in oil sands GHG emissions intensity by 2025, from a 2016 baseline.",True,1,,,,,,0
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/1ef316a9-bdaa-44cc-93f0-06f6e4583a5a,The Project is strategically positioned to leverage Canada's abundant natural gas supply and deliver a lower-carbon energy option to global markets.,False,1,,,,,,1
Enbridge,https://www.enbridge.com/media-center/news/details?id=123758&lang=en,"""The strength of our core businesses, disciplined approach to capital allocation and strong balance sheet places us in a great position to meet growing energy demand safely, reliably, affordably and sustainably.",True,1,a,,,"great, reliably, safely, strong, sustainably",our,1
Pembina Pipeline,https://www.pembina.com/media-centre/news/details/e9e91b13-43af-4412-be86-0209f38c9899,"The Agreement also demonstrates the shared commitment of both Pembina and PETRONAS to realize the long-term potential of Canadian LNG, supporting energy security and advancing the transition to cleaner fuels in Asia.",False,1,,,,,,1
Suncor Energy,http://web.archive.org/web/20220629130830/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2010/2010-08-17-suncor-energy-releases-2010-report-on-sustainability-en.pdf?modified=20210902050604,Our climate change action plan has contributed to a 53 per cent decrease in mineable oil sands greenhouse gas emission intensity from 1990 levels.,True,1,,,,,,0
Enbridge,https://www.enbridge.com/media-center/news/details?id=123687&lang=en,"Enbridge now has three operating facilities across its systems, with another four projects totaling 40 MW of renewable generation planned for late 2022 on the Liquids Mainline and Flanagan South pipelines.",True,1,,,,,,0
